Plato,Alimento: Carne,Ingredientes Carne,Alimento: Verduras,Ingredientes Verdura,Mercaderia,Ingredientes Mercaderia,Imagen
Milanesas de Cerdo con Fideos,Milanesas de Cerdo (1.5 Kg.) (https://app.notion.com/p/Milanesas-de-Cerdo-1-5-Kg-352e39f4135980d3b017e5c25518e240?pvs=21),1.5 Kg. Bifes de Cerdo,,,Fideos Tallarin  (2 Uni.) (https://app.notion.com/p/Fideos-Tallarin-2-Uni-344e39f41359803faa08cc8d008b5636?pvs=21),2 Uni. Fideos Tallarin,
Milanesas de Cerdo con Fideos Secos,Milanesas de Cerdo (1.5 Kg.) (https://app.notion.com/p/Milanesas-de-Cerdo-1-5-Kg-352e39f4135980d3b017e5c25518e240?pvs=21),1.5 Kg. Bifes de Cerdo,,,Fideos Secos (https://app.notion.com/p/Fideos-Secos-352e39f413598002a606cb717939029a?pvs=21),1 Uni. Nido de Spaghetti | 0.3 Kg. Cebolla Blanca,
Milanesas de Cerdo con Papas al Horno,Milanesas de Cerdo (1.5 Kg.) (https://app.notion.com/p/Milanesas-de-Cerdo-1-5-Kg-352e39f4135980d3b017e5c25518e240?pvs=21),1.5 Kg. Bifes de Cerdo,Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21),1 Kg. Papa,,,carne-al-horno-1096419.jpeg
Milanesas de Cerdo con Pure de Papa,Milanesas de Cerdo (1.5 Kg.) (https://app.notion.com/p/Milanesas-de-Cerdo-1-5-Kg-352e39f4135980d3b017e5c25518e240?pvs=21),1.5 Kg. Bifes de Cerdo,Pure de Papa (2 Kg.) (https://app.notion.com/p/Pure-de-Papa-2-Kg-341e39f4135980edbc59ce5f4b30e014?pvs=21),2 Kg. Papa,,,milanesas-pure-ig-1-819x1024.webp
Milanesas de Cerdo con Tomate y Lechuga,Milanesas de Cerdo (1.5 Kg.) (https://app.notion.com/p/Milanesas-de-Cerdo-1-5-Kg-352e39f4135980d3b017e5c25518e240?pvs=21),1.5 Kg. Bifes de Cerdo,Tomate (1 Uni.) (https://app.notion.com/p/Tomate-1-Uni-352e39f4135980dbb386da1f3304d4cb?pvs=21),1 Uni. Tomate,,,
Milanesas de Cerdo con Tortilla de Papa y Acelga,Milanesas de Cerdo (1.5 Kg.) (https://app.notion.com/p/Milanesas-de-Cerdo-1-5-Kg-352e39f4135980d3b017e5c25518e240?pvs=21),1.5 Kg. Bifes de Cerdo,"Tortilla de Acelga (https://app.notion.com/p/Tortilla-de-Acelga-352e39f4135980e3bb18cef0aee3fc2c?pvs=21), Tortilla de Papa (https://app.notion.com/p/Tortilla-de-Papa-352e39f4135980adb791ef7bdfa3abc0?pvs=21)",2 Atados Acelga | 4 Uni. Huevo | 0.3 Kg. Cebolla Blanca | 2 Kg. Papa | 4 Uni. Huevo | 0.3 Kg. Cebolla Blanca,,,
Ñoquis con Salsa y Bifes de Carne,Bifes de Carne (750 Gr.) (https://app.notion.com/p/Bifes-de-Carne-750-Gr-353e39f413598084a561ea54a1b8a00b?pvs=21),0.75 Kg. Bife de Nalga,Ñoquis (https://app.notion.com/p/oquis-352e39f4135980b49240fe01d213dd0b?pvs=21),2 Kg. Papa | 0.6 Kg. Harina 0000 | 2 Uni. Huevo,Salsa para Fideos (https://app.notion.com/p/Salsa-para-Fideos-344e39f4135980a98056e5b336efb2e1?pvs=21),2 Uni. Pure de Tomate | 3 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo,
Ñoquis con Salsa y Molida,Bifes de Carne (1.5 Kg.) (https://app.notion.com/p/Bifes-de-Carne-1-5-Kg-341e39f41359805f836bd7cc79a98947?pvs=21),1.5 Kg. Bife de Nalga,Ñoquis (https://app.notion.com/p/oquis-352e39f4135980b49240fe01d213dd0b?pvs=21),2 Kg. Papa | 0.6 Kg. Harina 0000 | 2 Uni. Huevo,Salsa para Fideos (https://app.notion.com/p/Salsa-para-Fideos-344e39f4135980a98056e5b336efb2e1?pvs=21),2 Uni. Pure de Tomate | 3 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo,
Pastel de Papa,Carne Molida (1 Kg.) (https://app.notion.com/p/Carne-Molida-1-Kg-352e39f41359802ba2ebd0d823635f71?pvs=21),1 Kg. Molida Especial,"Pure de Papa (3 Kg.) (https://app.notion.com/p/Pure-de-Papa-3-Kg-353e39f4135980509c18f143b7da4733?pvs=21), Cebolla (1 Kg.) (https://app.notion.com/p/Cebolla-1-Kg-352e39f413598017b742eea72d7cf7ce?pvs=21)",3 Kg. Papa | 1 Kg. Cebolla Blanca,"Queso Mantecoso (500 Gr.) (https://app.notion.com/p/Queso-Mantecoso-500-Gr-352e39f4135980719185f68165e28f31?pvs=21), Aceitunas (150 Gr.) (https://app.notion.com/p/Aceitunas-150-Gr-352e39f4135980fda6e6eaa92909c24f?pvs=21), Huevo Cocido (4 Uni.) (https://app.notion.com/p/Huevo-Cocido-4-Uni-353e39f4135980369510dcc6d4b179ae?pvs=21)",0.5 Kg. Queso Mantecoso | 150 Gr. Aceitunas Verdes | 4 Uni. Huevo,
Pizzas Caceras,,,"Berenjenas (2 Uni.) (https://app.notion.com/p/Berenjenas-2-Uni-352e39f4135980548c7bcbc55b9cc41e?pvs=21), Cebolla (1 Kg.) (https://app.notion.com/p/Cebolla-1-Kg-352e39f413598017b742eea72d7cf7ce?pvs=21)",2 Uni. Berenjena | 1 Kg. Cebolla Blanca,"Masa para Pizza (https://app.notion.com/p/Masa-para-Pizza-352e39f4135980f980f8cff19f9b42dd?pvs=21), Paleta (150 Gr.) (https://app.notion.com/p/Paleta-150-Gr-352e39f4135980679244c5452b8c28bd?pvs=21), Mortadela (150 Gr.) (https://app.notion.com/p/Mortadela-150-Gr-352e39f4135980b29906d15b8551f798?pvs=21), Salame (150 Gr.) (https://app.notion.com/p/Salame-150-Gr-352e39f413598035b8c2fc7897d67238?pvs=21), Huevos Cocidos (6 Uni.) (https://app.notion.com/p/Huevos-Cocidos-6-Uni-352e39f41359802aae46c35107a71d64?pvs=21), Queso Mantecoso (500 Gr.) (https://app.notion.com/p/Queso-Mantecoso-500-Gr-352e39f4135980719185f68165e28f31?pvs=21), Queso Azul (350 Gr.) (https://app.notion.com/p/Queso-Azul-350-Gr-352e39f41359800eaf29d6f582323a5a?pvs=21)",2 Kg. Harina 0000 | 2 Uni. Levadura Seca (10Gr.) | 0.1 Lts. Aceite de Girasol | 150 Gr. Paleta | 150 Gr. Mortadela | 150 Gr. Salame | 6 Uni. Huevo | 0.5 Kg. Queso Mantecoso | 0.35 Gr. Queso Azul,
Pollo al Horno Adobado con Papas al Horno,"Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21), Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21)",1 Uni. Pollo Entero | 2 Uni. Pechuga de Pollo,Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21),1 Kg. Papa,"Salsa de Soja (1 Uni.) (https://app.notion.com/p/Salsa-de-Soja-1-Uni-352e39f413598017ab65e07876faa018?pvs=21), Ketchup (1 Uni.) (https://app.notion.com/p/Ketchup-1-Uni-352e39f41359809982bde43ff71dcf5f?pvs=21), Mostaza (1 Uni.) (https://app.notion.com/p/Mostaza-1-Uni-352e39f4135980589cf3e58a4b31b197?pvs=21), Tomillo (20 Gr.) (https://app.notion.com/p/Tomillo-20-Gr-352e39f41359805e869de2d857385291?pvs=21), Pimienton en Polvo (20 Gr.) (https://app.notion.com/p/Pimienton-en-Polvo-20-Gr-352e39f4135980908c91d97eca71ae36?pvs=21)",1 Uni. Salsa de Soja | 1 Uni. Ketchup Chica | 1 Uni. Mostaza Chica | 20 Gr. Tomillo | 20 Gr. Pimienton Rojo (Dulce),
Pollo al Horno con Arroz Blanco,"Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21), Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21)",2 Uni. Pechuga de Pollo | 1 Uni. Pollo Entero,,,Arroz Blanco (https://app.notion.com/p/Arroz-Blanco-344e39f413598006bcc0ce9cfa1d7a22?pvs=21),1 Kg. Arroz | 0.3 Kg. Cebolla Blanca,
Pollo al Horno con Ensalada de Papa,"Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21), Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21)",1 Uni. Pollo Entero | 2 Uni. Pechuga de Pollo,Ensalada de Papa (https://app.notion.com/p/Ensalada-de-Papa-352e39f41359801aa6aed3898abb7f45?pvs=21),1.5 Kg. Papa,,,
Pollo al Horno con Ensalada de Papa y Zanahoria,"Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21), Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21)",2 Uni. Pechuga de Pollo | 1 Uni. Pollo Entero,"Ensalada de Papa (https://app.notion.com/p/Ensalada-de-Papa-352e39f41359801aa6aed3898abb7f45?pvs=21), Ensalada de Zanahoria (https://app.notion.com/p/Ensalada-de-Zanahoria-352e39f4135980b5988dc1864321ad8f?pvs=21)",1.5 Kg. Papa | 1 Kg. Zanahoria,,,
Pollo al Horno con Papa,"Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21), Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21)",1 Uni. Pollo Entero | 2 Uni. Pechuga de Pollo,Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21),1 Kg. Papa,,,
Pollo al Horno con Papa Revosada,"Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21), Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21)",1 Uni. Pollo Entero | 2 Uni. Pechuga de Pollo,Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21),1 Kg. Papa,,,
Pollo al Horno con Papa y Zanahoria,"Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21), Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21)",2 Uni. Pechuga de Pollo | 1 Uni. Pollo Entero,"Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21), Zanahoria (750 Gr.) (https://app.notion.com/p/Zanahoria-750-Gr-341e39f41359808ca9c2e78448369a8e?pvs=21)",1 Kg. Papa | 0.75 Kg. Zanahoria,,,
Pollo al Horno con Pure de Papa,"Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21), Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21)",1 Uni. Pollo Entero | 2 Uni. Pechuga de Pollo,Pure de Papa (2 Kg.) (https://app.notion.com/p/Pure-de-Papa-2-Kg-341e39f4135980edbc59ce5f4b30e014?pvs=21),2 Kg. Papa,,,
Pollo al Horno con Verduras,"Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21), Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21)",1 Uni. Pollo Entero | 2 Uni. Pechuga de Pollo,"Cebolla (1 Kg.) (https://app.notion.com/p/Cebolla-1-Kg-352e39f413598017b742eea72d7cf7ce?pvs=21), Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21), Zanahoria (750 Gr.) (https://app.notion.com/p/Zanahoria-750-Gr-341e39f41359808ca9c2e78448369a8e?pvs=21), Pimiento Verde (3 Uni.) (https://app.notion.com/p/Pimiento-Verde-3-Uni-341e39f41359807f9eaad3f8a7e301e1?pvs=21), Pimiento Rojo (3 Uni) (https://app.notion.com/p/Pimiento-Rojo-3-Uni-341e39f41359806bacf4fbf6b17a4d3d?pvs=21)",1 Kg. Cebolla Blanca | 1 Kg. Papa | 0.75 Kg. Zanahoria | 3 Uni. Pimiento Verde | 3 Uni. Pimiento Rojo,,,
Pollo con Pure y Salsa de Tomate,"Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21), Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21)",2 Uni. Pechuga de Pollo | 1 Uni. Pollo Entero,Pure de Papa (2 Kg.) (https://app.notion.com/p/Pure-de-Papa-2-Kg-341e39f4135980edbc59ce5f4b30e014?pvs=21),2 Kg. Papa,Salsa para Fideos (https://app.notion.com/p/Salsa-para-Fideos-344e39f4135980a98056e5b336efb2e1?pvs=21),2 Uni. Pure de Tomate | 3 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo,
Pollo Entero con Arroz Amarillo,"Pollo (1 Uni.) (https://app.notion.com/p/Pollo-1-Uni-344e39f41359807fa9aaf4880187ed45?pvs=21), Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21)",1 Uni. Pollo Entero | 2 Uni. Pechuga de Pollo,"Pimiento Rojo (1 Uni.) (https://app.notion.com/p/Pimiento-Rojo-1-Uni-344e39f41359805b91f1e776ad5298d7?pvs=21), Pimiento Verde  (1 Uni.) (https://app.notion.com/p/Pimiento-Verde-1-Uni-344e39f41359807cb16dfc5bb843e45f?pvs=21)",1 Uni. Pimiento Rojo | 1 Uni. Pimiento Verde,Arroz Amarillo (https://app.notion.com/p/Arroz-Amarillo-352e39f413598039b505d9e372f38359?pvs=21),1 Kg. Arroz | 0.3 Kg. Cebolla Blanca,arroz-con-pollo-a-la-cubana-receta-1.jpg
Puchero,Carne (1.5 Kg.) - Colita de Cuadril (https://app.notion.com/p/Carne-1-5-Kg-Colita-de-Cuadril-352e39f4135980e0adb2f304a6aea321?pvs=21),1.5 Kg. Colita de Cuadril,"Zapallo (1/4) (https://app.notion.com/p/Zapallo-1-4-352e39f4135980f09e51f0283dd3ab86?pvs=21), Alcaucil (2 Uni.) (https://app.notion.com/p/Alcaucil-2-Uni-352e39f4135980328db8eb3a1c2353a8?pvs=21), Choclo (2 Uni.) (https://app.notion.com/p/Choclo-2-Uni-352e39f4135980e6bcaeebf6bce6223f?pvs=21), Zanahoria (500 Gr.) (https://app.notion.com/p/Zanahoria-500-Gr-353e39f4135980678373e855d36eca2a?pvs=21)",1 Cuarto Zapallo | 2 Uni. Alcaucil | 2 Uni. Choclo | 0.5 Kg. Zanahoria,Fideos Cabello de Angel (1 Uni.) (https://app.notion.com/p/Fideos-Cabello-de-Angel-1-Uni-352e39f413598086b319f0270610f7a9?pvs=21),1 Uni. Fideos Cabello de Angel,
